Code,Si/Do,시군구,City_Name,Si/Gun,Smart_City,1st_SC (U-City & LH_SC service in Transport & Security),2nd_SC (Multiple SC service),SC_Ordinance,RE,RE_B,RE_E,SG,CI,ES_Ave,ES1,EC2,EC3,EC4,EC5,Elec_HPS,TB,ER,Population, Business ,FIR,GRDP,Car,UA,RA,CA,IA,GA,Road,F_Culture,F_Research,Hospitals,Waste
44810,Chungnam,예산군,Yesan-gun,Gun,3,,, -   ,"67,411",0.000%,0.000%,0 ,0 ,3.684 ,3.17 ,4.17 ,3.65 ,3.65 ,3.79 ,408220 ,0.00%, 1 ,"37,251"," 6,871 ",15.3," 3,054,792 "," 41,123 ",17.0,18.2,1.6,10.5,69.7,"6,686,519",1,2,1,0.89
44825,Chungnam,태안군,Taean-gun,Gun,3,,, -   ,"37,529",0.050%,0.032%,0 ,4 ,3.694 ,2.94 ,4.17 ,3.65 ,3.91 ,3.81 ,846450 ,0.00%, 2 ,"30,617"," 5,941 ",19.7," 2,715,205 "," 31,451 ",34.7,12.9,4.7,8.0,74.5,"10,202,544",6,1,0,1.29
45110,Jeonbuk,전주시,Jeonju-si,Si,1,"전북혁신(07~15), U-city(시범도시)",, -   ,"30,775",0.019%,0.010%,0 ,9 ,3.153 ,3.01 ,3.91 ,3.31 ,2.95 ,2.58 ,3046297 ,0.00%, 2 ,"258,006"," 52,628 ",32.2," 12,082,387 "," 296,296 ",100.0,17.8,2.3,3.3,76.6,"15,552,787",16,2,0,1.12
45130,Jeonbuk,군산시,Gunsan-si,Si,3,,, -   ,"39,841",0.009%,0.000%,0 ,4 ,3.334 ,3.03 ,4.12 ,3.48 ,3.23 ,2.82 ,1193249 ,0.00%, 3 ,"115,329"," 22,221 ",26.6," 9,949,215 "," 128,250 ",34.7,9.2,2.0,13.3,39.5,"14,448,165",2,3,2,1.09
45140,Jeonbuk,익산시,Iksan-si,Si,3,,, -   ,"71,669",0.026%,0.015%,0 ,1 ,3.245 ,3.07 ,3.73 ,3.31 ,2.99 ,3.13 ,1262498 ,0.00%, 2 ,"123,675"," 23,055 ",20.9," 6,954,851 "," 136,304 ",20.1,23.4,2.5,14.3,59.8,"11,075,788",2,1,1,0.88
45180,Jeonbuk,정읍시,Jeongeup-si,Si,3,,, -   ,"106,318",0.000%,0.000%,0 ,0 ,3.286 ,2.97 ,3.89 ,3.45 ,2.99 ,3.14 ,533723 ,0.17%, 1 ,"52,330"," 8,989 ",14.3," 2,753,347 "," 52,147 ",22.8,23.5,2.7,7.0,66.8,"10,613,326",1,6,1,0.76
45190,Jeonbuk,남원시,Namwon-si,Si,3,,, -   ,"117,242",0.000%,0.000%,0 ,2 ,3.302 ,2.96 ,3.93 ,3.60 ,3.15 ,2.87 ,371356 ,0.17%, 1 ,"37,529"," 7,171 ",11.9," 1,671,867 "," 40,730 ",16.2,21.5,3.2,3.6,71.7,"9,035,003",2,1,1,1.10
45210,Jeonbuk,김제시,Gimje-si,Si,3,,, -   ,"56,359",0.206%,0.062%,1 ,3 ,3.060 ,2.84 ,3.62 ,3.27 ,2.95 ,2.63 ,0 ,0.00%, 2 ,"41,601"," 7,126 ",13.7," 2,691,070 "," 43,867 ",18.4,18.1,2.3,7.1,72.5,"8,412,622",1,1,1,0.99
45710,Jeonbuk,완주군,Wanju-gun,Gun,1,전북혁신(07~15),, -   ,"104,763",0.030%,0.000%,0 ,0 ,3.088 ,2.94 ,3.73 ,3.21 ,2.98 ,2.58 ,2983412 ,0.00%, 1 ,"41,204"," 6,475 ",31.1," 4,658,378 "," 51,072 ",13.8,4.4,0.5,4.6,90.6,"11,339,676",8,3,0,1.06
45720,Jeonbuk,진안군,Jinan-gun,Gun,3,,, -   ,"99,976",0.000%,0.000%,0 ,0 ,3.164 ,3.12 ,3.73 ,3.40 ,2.99 ,2.58 ,120769 ,0.00%, 1 ,"12,654"," 1,811 ",15.2," 632,338 "," 12,925 ",14.7,13.8,2.2,0.6,83.4,"3,122,406",1,1,0,0.56
45730,Jeonbuk,무주군,Muju-gun,Gun,3,,, -   ,"100,621",0.044%,0.000%,1 ,0 ,3.340 ,3.16 ,3.96 ,3.57 ,3.16 ,2.85 ,0 ,0.00%, 1 ,"11,893"," 2,270 ",17.9," 733,608 "," 12,131 ",12.6,16.0,2.8,0.5,80.6,"3,985,982",0,1,0,1.15
45740,Jeonbuk,장수군,Jangsu-gun,Gun,3,,, -   ,"78,921",0.000%,0.000%,0 ,0 ,3.239 ,2.99 ,3.79 ,3.45 ,3.08 ,2.89 ,121473 ,0.00%, 2 ,"11,123"," 1,475 ",16.7," 536,214 "," 11,454 ",19.1,22.1,3.4,1.5,73.0,"2,576,129",0,2,0,0.92
45750,Jeonbuk,임실군,Imsil-gun,Gun,3,,, -   ,"71,990",0.093%,0.000%,0 ,0 ,2.982 ,3.05 ,3.36 ,3.00 ,2.83 ,2.67 ,137637581 ,0.00%, 1 ,"14,332"," 2,209 ",15.6," 749,838 "," 13,922 ",11.3,12.3,1.5,4.2,82.0,"3,902,542",1,1,0,0.50
45770,Jeonbuk,순창군,Sunchang-gun,Gun,3,,, -   ,"62,961",0.093%,0.000%,0 ,1 ,3.464 ,3.15 ,4.01 ,3.71 ,3.33 ,3.12 ,112125269 ,0.00%, 1 ,"13,819"," 2,136 ",13.1," 760,451 "," 13,854 ",4.3,8.5,1.2,0.0,90.2,"5,436,090",1,4,0,0.50
45790,Jeonbuk,고창군,Gochang-gun,Gun,3,,, -   ,"59,962",0.189%,0.110%,0 ,1 ,3.103 ,2.85 ,3.67 ,3.32 ,3.00 ,2.68 ,0 ,0.00%, 2 ,"28,900"," 5,088 ",15.4," 1,425,975 "," 29,309 ",7.0,14.3,1.6,3.3,80.8,"7,848,621",1,1,0,0.73
45800,Jeonbuk,부안군,Buan-gun,Gun,3,,, -   ,"46,347",0.041%,0.000%,0 ,0 ,2.942 ,2.79 ,3.46 ,3.09 ,2.77 ,2.60 ,283426 ,0.00%, 1 ,"27,689"," 4,851 ",16.3," 1,295,064 "," 26,741 ",5.0,15.2,1.1,3.2,79.5,"7,682,199",5,1,0,0.75
46110,Jeonnam,목포시,Mokpo-si,Si,3,,, -   ,"23,946",0.023%,0.021%,0 ,4 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,1141989 ,0.00%, 2 ,"101,180"," 20,867 ",23.5," 3,886,589 "," 96,797 ",100.0,13.1,1.8,7.5,26.5,"6,525,832",3,1,1,1.13
46130,Jeonnam,여수시,Yeosu-si,Si,1,"U-city(시범도시), 유비쿼터스 도시계획",, -   ,"85,902",0.025%,0.020%,1 ,0 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,1524028 ,0.00%, 2 ,"118,910"," 23,099 ",30.8," 20,702,790 "," 124,848 ",46.0,7.5,0.9,17.1,62.2,"14,946,076",15,0,1,1.48
46150,Jeonnam,순천시,Suncheon-si,Si,3,,, -   ,"110,111",0.031%,0.013%,0 ,6 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,1143155 ,0.00%, 1 ,"109,650"," 22,155 ",26.2," 5,477,390 "," 126,371 ",19.9,10.4,1.5,2.4,85.7,"14,467,323",7,2,3,0.86
46170,Jeonnam,나주시,Naju-si,Si,1,"광주전남혁신(07~15), U-city(시범도시)",,2010,"76,465",0.062%,0.098%,0 ,2 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,498366 ,0.00%, 2 ,"49,378"," 7,542 ",17.5," 3,708,422 "," 54,698 ",20.1,15.9,1.3,3.6,79.3,"9,214,300",5,2,1,0.80
46230,Jeonnam,광양시,Gwangyang-si,Si,3,,, -   ,"55,319",0.075%,0.022%,0 ,2 ,3.292 ,3.48 ,3.90 ,3.48 ,2.94 ,2.66 ,589149 ,0.00%, 1 ,"61,487"," 11,348 ",35.5," 9,632,766 "," 79,831 ",29.1,10.0,1.3,27.4,47.3,"14,705,764",7,0,2,1.57
